,Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Magadan,59.5667,150.8,-12.22,86,86,1.96,RU,1616301512
1,Seynod,45.8855,6.0883,1.0,69,0,2.57,FR,1616301523
2,North Bend,43.4065,-124.2243,8.0,81,75,2.57,US,1616301524
3,Matagami,49.7502,-77.6328,4.0,35,1,3.6,CA,1616301524
4,Rikitea,-23.1203,-134.9692,26.55,74,87,3.1,PF,1616301525
5,Khatanga,71.9667,102.5,-30.42,90,63,3.28,RU,1616301525
6,Dawlatabad,36.4141,64.9053,15.12,53,5,4.06,AF,1616301525
7,Barrow,71.2906,-156.7887,-22.0,71,1,5.66,US,1616301526
8,Bubaque,11.2833,-15.8333,24.4,64,92,6.38,GW,1616301526
9,Qaanaaq,77.484,-69.3632,-22.34,95,100,0.93,GL,1616301527
10,San Cristobal,7.7669,-72.225,18.16,92,74,0.81,VE,1616301527
11,Vanavara,60.34,102.2797,-22.63,83,100,3.59,RU,1616301527
12,Acapulco de Juárez,16.8634,-99.8901,24.31,78,0,1.84,MX,1616301528
13,New Norfolk,-42.7826,147.0587,23.33,44,19,1.79,AU,1616301528
14,Nanortalik,60.1432,-45.2371,-2.26,86,100,9.93,GL,1616301529
15,Vaini,-21.2,-175.2,26.0,94,75,1.54,TO,1616301529
16,Magadan,59.5667,150.8,-12.22,86,86,1.96,RU,1616301512
17,Seynod,45.8855,6.0883,1.0,69,0,2.57,FR,1616301523
18,North Bend,43.4065,-124.2243,8.0,81,75,2.57,US,1616301524
19,Matagami,49.7502,-77.6328,4.0,35,1,3.6,CA,1616301524
20,Rikitea,-23.1203,-134.9692,26.55,74,87,3.1,PF,1616301525
21,Khatanga,71.9667,102.5,-30.42,90,63,3.28,RU,1616301525
22,Dawlatabad,36.4141,64.9053,15.12,53,5,4.06,AF,1616301525
23,Barrow,71.2906,-156.7887,-22.0,71,1,5.66,US,1616301526
24,Bubaque,11.2833,-15.8333,24.4,64,92,6.38,GW,1616301526
25,Qaanaaq,77.484,-69.3632,-22.34,95,100,0.93,GL,1616301527
26,San Cristobal,7.7669,-72.225,18.16,92,74,0.81,VE,1616301527
27,Vanavara,60.34,102.2797,-22.63,83,100,3.59,RU,1616301527
28,Acapulco de Juárez,16.8634,-99.8901,24.31,78,0,1.84,MX,1616301528
29,New Norfolk,-42.7826,147.0587,23.33,44,19,1.79,AU,1616301528
30,Nanortalik,60.1432,-45.2371,-2.26,86,100,9.93,GL,1616301529
31,Vaini,-21.2,-175.2,26.0,94,75,1.54,TO,1616301529
32,Bluff,-46.6,168.3333,13.89,80,100,4.02,NZ,1616301814
33,Saint-Philippe,-21.3585,55.7679,28.0,69,45,2.06,RE,1616301815
34,Gōtsuchō,35.0,132.2167,12.0,94,75,2.57,JP,1616301816
35,Jamestown,42.097,-79.2353,4.0,33,1,2.09,US,1616301560
36,Paris,48.8534,2.3488,5.0,93,90,2.06,FR,1616301568
37,Port Alfred,-33.5906,26.891,17.98,86,10,7.73,ZA,1616301816
38,Cape Town,-33.9258,18.4232,17.22,67,0,8.75,ZA,1616301376
39,Souillac,-20.5167,57.5167,27.0,89,75,5.14,MU,1616301817
40,Aasiaat,68.7098,-52.8699,-12.26,96,95,5.28,GL,1616301817
41,Dikson,73.5069,80.5464,-27.06,76,23,6.68,RU,1616301818
42,Paraúna,-16.9478,-50.4486,19.59,93,12,1.09,BR,1616301818
43,Taoudenni,22.6783,-3.9836,17.73,15,0,4.72,ML,1616301819
44,Nizwá,22.9333,57.5333,30.33,16,0,2.54,OM,1616301819
45,Chokurdakh,70.6333,147.9167,-22.14,91,2,2.55,RU,1616301819
46,Puerto Escondido,15.85,-97.0667,25.16,72,15,2.84,MX,1616301820
47,Marquette,46.5333,-87.6335,6.11,48,0,5.81,US,1616301820
48,Ilesha,7.1371,5.2583,22.17,93,100,0.69,NG,1616301821
49,Salta,-24.7859,-65.4117,16.0,100,90,1.03,AR,1616301633
50,Parakai,-36.65,174.4333,21.11,53,51,1.34,NZ,1616301821
51,Kapaa,22.0752,-159.319,22.22,78,40,8.75,US,1616301822
52,Port Macquarie,-31.4333,152.9167,22.0,88,90,6.69,AU,1616301822
53,Constitución,-35.3333,-72.4167,12.64,79,77,2.24,CL,1616301823
54,Hobart,-42.8794,147.3294,23.33,64,75,6.69,AU,1616301823
55,Nikolskoye,59.7035,30.7861,-0.56,86,90,4.0,RU,1616301824
56,Neringa,55.3719,21.0647,2.0,86,75,9.0,LT,1616301824
57,Bengkulu,-3.8004,102.2655,29.7,65,68,3.26,ID,1616301761
58,Bambous Virieux,-20.3428,57.7575,28.33,89,75,5.14,MU,1616301825
59,Mataura,-46.1927,168.8643,13.89,80,100,4.02,NZ,1616301825
60,Ushuaia,-54.8,-68.3,9.0,76,1,13.89,AR,1616301826
61,Puteyets,65.1716,57.091,-11.45,93,96,1.86,RU,1616301826
62,Busselton,-33.65,115.3333,34.44,26,11,3.13,AU,1616301827
63,Salalah,17.0151,54.0924,25.0,53,0,1.54,OM,1616301827
64,Albany,42.6001,-73.9662,3.0,48,1,1.84,US,1616301827
65,Olafsvik,64.8945,-23.7142,5.57,82,100,11.51,IS,1616301828
66,Thompson,55.7435,-97.8558,1.0,64,40,0.34,CA,1616301829
67,Hambantota,6.1241,81.1185,30.0,79,40,1.54,LK,1616301829
68,Cherskiy,68.75,161.3,-21.42,86,0,1.21,RU,1616301830
69,Buchanan,5.8808,-10.0467,24.91,90,23,1.72,LR,1616301830
70,Fortuna,40.5982,-124.1573,7.78,87,1,2.9,US,1616301831
71,Jiayuguan City,39.8167,98.3,4.9,21,0,4.77,CN,1616301831
72,Kununurra,-15.7667,128.7333,28.0,89,75,4.63,AU,1616301832
73,Comodoro Rivadavia,-45.8667,-67.5,17.0,42,0,6.69,AR,1616301614
74,Castro,-24.7911,-50.0119,17.51,97,33,1.63,BR,1616301832
75,Havre-St-Pierre,50.2334,-63.5986,-11.0,79,75,4.63,CA,1616301833
76,Mar del Plata,-38.0023,-57.5575,17.78,88,20,3.6,AR,1616301647
77,Yārāda,17.65,83.2667,31.0,62,20,1.54,IN,1616301557
78,Conde,-7.2597,-34.9075,24.0,94,20,2.57,BR,1616301614
79,Inta,66.0317,60.1659,-10.74,91,93,2.91,RU,1616301834
80,Longyearbyen,78.2186,15.6401,-10.0,73,75,7.2,SJ,1616301834
81,Colares,38.7992,-9.4469,10.56,49,0,5.36,PT,1616301835
82,Muros,42.7762,-9.0603,7.78,55,0,5.7,ES,1616301835
83,Hamilton,39.1834,-84.5333,7.78,45,1,3.6,US,1616301589
84,Kaitangata,-46.2817,169.8464,17.22,66,96,3.13,NZ,1616301836
85,Yellowknife,62.456,-114.3525,-17.0,66,90,6.17,CA,1616301836
86,Torbay,47.6666,-52.7314,-5.56,68,40,7.72,CA,1616301837
87,Avarua,-21.2078,-159.775,28.0,74,20,2.57,CK,1616301837
88,Bredasdorp,-34.5322,20.0403,14.0,100,92,1.54,ZA,1616301837
89,Punta Arenas,-53.15,-70.9167,9.0,76,40,12.86,CL,1616301838
90,São João da Barra,-21.6403,-41.0511,23.8,88,0,2.76,BR,1616301838
91,Marawi,7.9986,124.2928,28.89,83,80,2.68,PH,1616301839
92,Rome,43.2128,-75.4557,0.0,74,1,0.73,US,1616301839
93,Vanimo,-2.6741,141.3028,28.28,80,99,1.6,PG,1616301839
94,Butaritari,3.0707,172.7902,27.74,79,23,7.33,KI,1616301840
95,East London,-33.0153,27.9116,17.0,82,0,4.12,ZA,1616301841
96,Hermanus,-34.4187,19.2345,16.11,90,79,0.89,ZA,1616301806
97,Ponta do Sol,32.6667,-17.1,13.33,56,46,3.13,PT,1616301841
98,Nizhniy Odes,63.6445,54.856,-12.02,93,88,2.16,RU,1616301842
99,Sørland,67.667,12.6934,-0.34,68,100,12.99,NO,1616301842
100,Yaan,7.3833,8.5667,23.96,80,74,2.02,NG,1616301842
101,Tasiilaq,65.6145,-37.6368,-4.0,100,90,19.03,GL,1616301843
102,Lorengau,-2.0226,147.2712,29.56,72,88,2.8,PG,1616301843
103,Bethel,41.3712,-73.414,2.22,60,1,1.66,US,1616301844
104,Muroto-misakicho,33.2833,134.15,19.0,100,75,1.54,JP,1616301844
105,Klaksvík,62.2266,-6.589,6.0,81,75,7.2,FO,1616301845
106,Zeya,53.75,127.2667,-2.88,80,100,1.82,RU,1616301799
107,Kupang,-10.1667,123.5833,30.0,94,40,6.17,ID,1616301787
108,Port Elizabeth,-33.918,25.5701,18.0,82,40,6.69,ZA,1616301846
109,Araouane,18.9048,-3.5265,22.5,14,15,4.63,ML,1616301846
110,Phonhong,18.5007,102.4166,35.0,52,40,3.09,LA,1616301846
111,Upernavik,72.7868,-56.1549,-23.99,99,100,5.46,GL,1616301847
112,Saint Anthony,45.0205,-93.218,10.0,43,1,8.75,US,1616301847
113,Uyemskiy,64.4743,40.8524,-6.0,93,90,2.0,RU,1616301848
114,Padang,-0.9492,100.3543,30.0,70,20,3.6,ID,1616301848
115,Vardø,70.3705,31.1107,-0.15,74,92,9.67,NO,1616301849
116,Dzilam González,21.2833,-88.9333,19.22,75,1,2.31,MX,1616301850
117,Yuancheng,36.652,107.7896,2.65,18,32,2.12,CN,1616301850
118,Tuatapere,-46.1333,167.6833,13.89,80,91,4.02,NZ,1616301850
119,Asău,46.4333,26.4,-1.67,65,54,0.92,RO,1616301851
120,Huambo,-12.7761,15.7392,15.38,96,100,1.07,AO,1616301851
121,Marsh Harbour,26.5412,-77.0636,23.75,75,4,2.52,BS,1616301852
122,Mahon,39.8885,4.2658,9.0,53,75,11.83,ES,1616301852
123,Puksoozero,62.5903,40.6066,-8.62,91,100,5.05,RU,1616301852
124,Kuytun,54.3419,101.5036,-0.54,86,95,3.14,RU,1616301853
125,Diamantino,-14.4086,-56.4461,21.51,96,70,0.88,BR,1616301853
126,Forestville,38.8451,-76.875,7.0,69,1,0.62,US,1616301854
127,Grand-Santi,4.25,-54.3833,21.79,98,63,0.89,GF,1616301854
128,Prince Rupert,54.3161,-130.3201,3.0,87,90,7.72,CA,1616301855
129,Yar-Sale,66.8333,70.8333,-21.33,94,100,5.33,RU,1616301855
130,Rocha,-34.4833,-54.3333,19.1,96,100,4.35,UY,1616301856
131,Arraial do Cabo,-22.9661,-42.0278,24.65,86,0,6.67,BR,1616301856
132,Tuktoyaktuk,69.4541,-133.0374,-27.0,76,75,2.06,CA,1616301857
133,Provideniya,64.3833,-173.3,-14.15,78,100,4.21,RU,1616301857
134,Walla Walla,46.0646,-118.343,8.33,57,90,6.69,US,1616301858
135,Bozüyük,39.9078,30.0367,6.0,93,75,3.09,TR,1616301858
136,At-Bashi,41.1702,75.8106,-0.01,63,78,1.71,KG,1616301859
137,Broken Hill,-31.95,141.4333,25.0,47,100,4.12,AU,1616301859
138,Sur,22.5667,59.5289,30.92,35,0,1.35,OM,1616301859
139,Hithadhoo,-0.6,73.0833,28.48,73,58,4.52,MV,1616301860
140,Praia,14.9215,-23.5087,19.0,82,20,4.63,CV,1616301860
141,Vanderhoof,54.0166,-124.0198,-0.83,74,100,1.81,CA,1616301861
142,Touros,-5.1989,-35.4608,23.0,94,20,2.06,BR,1616301861
143,Mahébourg,-20.4081,57.7,27.0,89,75,5.14,MU,1616301862
144,Pevek,69.7008,170.3133,-30.21,95,5,0.97,RU,1616301862
145,Port Lincoln,-34.7333,135.8667,24.73,57,1,4.29,AU,1616301863
146,Whitehorse,60.7161,-135.0538,-8.0,67,75,3.09,CA,1616301699
147,Banda Aceh,5.5577,95.3222,30.15,66,71,4.88,ID,1616301863
148,Tyubuk,56.0552,60.9405,-4.24,84,29,5.27,RU,1616301864
149,Harper,4.375,-7.7169,25.33,88,90,2.33,LR,1616301864
150,Walvis Bay,-22.9575,14.5053,16.11,90,4,1.34,NA,1616301864
151,Saskylakh,71.9167,114.0833,-33.53,93,40,4.01,RU,1616301865
152,Hilo,19.7297,-155.09,21.0,83,90,2.61,US,1616301865
153,Karaman Province,37.0833,33.25,6.66,70,0,0.35,TR,1616301866
154,Kieta,-6.2167,155.6333,28.85,75,97,1.68,PG,1616301866
155,Meulaboh,4.1363,96.1285,30.29,65,77,1.31,ID,1616301867
156,Santa Fe,-31.6333,-60.7,18.89,93,51,0.89,AR,1616301775
157,Shitanjing,39.2342,106.3439,1.35,14,0,1.62,CN,1616301801
158,Matina,10.0761,-83.2895,22.45,90,82,1.68,CR,1616301868
159,Kerman,30.2832,57.0788,8.0,31,0,2.43,IR,1616301868
160,Aykhal,66.0,111.5,-31.46,97,100,15.84,RU,1616301869
161,Cidreira,-30.1811,-50.2056,24.4,90,62,5.28,BR,1616301869
162,Hirara,24.8,125.2833,21.0,83,75,6.69,JP,1616301870
163,Bagotville,-28.9833,153.4167,22.0,94,75,5.66,AU,1616301870
164,Faanui,-16.4833,-151.75,28.28,70,0,2.7,PF,1616301871
165,Lufilufi,-13.8745,-171.5986,27.0,89,90,3.6,WS,1616301871
166,Taltal,-25.4,-70.4833,18.24,81,0,0.63,CL,1616301620
167,Saint George,37.1041,-113.5841,13.33,44,1,5.14,US,1616301872
168,Puerto Ayora,-0.7393,-90.3518,25.0,93,42,0.89,EC,1616301872
169,Kodinsk,58.6881,99.1844,-7.32,93,100,3.51,RU,1616301873
170,Virginia Beach,36.8529,-75.978,6.67,75,40,3.6,US,1616301592
171,Pampierstad,-27.7832,24.6877,16.85,78,94,2.07,ZA,1616301873
172,Dingle,10.9995,122.6711,30.97,67,97,5.25,PH,1616301874
173,Pozo Colorado,-23.4923,-58.7972,24.04,84,100,1.72,PY,1616301874
174,Xai-Xai,-25.0519,33.6442,22.55,86,4,1.95,MZ,1616301874
175,Lüderitz,-26.6481,15.1594,18.68,71,28,8.75,NA,1616301875
176,Kassala,15.451,36.4,24.61,47,20,6.46,SD,1616301875
177,Saint Paul Harbor,57.79,-152.4072,1.0,86,90,2.57,US,1616301876
178,Coquimbo,-29.9533,-71.3436,15.0,82,0,3.09,CL,1616301796
179,George Town,5.4112,100.3354,32.0,70,20,3.6,MY,1616301850
180,Urucará,-2.5364,-57.76,22.36,98,99,1.45,BR,1616301876
181,Vila Franca do Campo,37.7167,-25.4333,14.0,72,75,3.09,PT,1616301877
182,Thunder Bay,48.4001,-89.3168,1.0,80,1,3.6,CA,1616301779
183,Birin,26.8865,88.0718,24.11,23,0,3.05,NP,1616301877
184,Srednekolymsk,67.45,153.6833,-14.7,77,0,2.63,RU,1616301878
185,Polunochnoye,60.8697,60.4153,-13.42,85,50,0.7,RU,1616301879
186,Cururupu,-1.8283,-44.8683,22.53,94,26,0.85,BR,1616301817
187,Mehamn,71.0357,27.8492,-0.96,75,100,9.26,NO,1616301879
188,São Gabriel da Cachoeira,-0.1303,-67.0892,22.68,95,94,0.73,BR,1616301880
189,São Luís,-2.5297,-44.3028,25.0,100,75,2.06,BR,1616301880
190,Guiratinga,-16.3494,-53.7583,20.76,94,99,1.25,BR,1616301881
191,Mount Isa,-20.7333,139.5,33.0,43,75,6.69,AU,1616301881
192,Warrenton,-28.114,24.8475,15.65,81,67,2.38,ZA,1616301881
193,Pisco,-13.7,-76.2167,21.0,68,0,4.12,PE,1616301882
194,Helensburgh,56.0061,-4.7265,3.89,93,59,2.06,GB,1616301882
195,Shingū,33.7333,135.9833,19.0,94,75,5.66,JP,1616301883
196,Katsuura,35.1333,140.3,18.33,94,100,5.81,JP,1616301883
197,Eureka,40.8021,-124.1637,7.78,79,0,2.24,US,1616301883
198,Kirksville,40.1948,-92.5833,7.78,61,1,5.14,US,1616301618
199,Mvuma,-19.2792,30.5283,15.99,86,0,2.06,ZW,1616301884
200,Zenzeli,45.9241,47.0474,4.74,79,87,5.27,RU,1616301884
201,Qasigiannguit,68.8193,-51.1922,-7.0,79,75,5.14,GL,1616301885
202,Erenhot,43.6475,111.9767,2.82,21,0,9.94,CN,1616301885
203,Geraldton,-28.7667,114.6,35.0,24,0,8.23,AU,1616301886
204,São José da Coroa Grande,-8.8978,-35.1478,24.29,86,16,1.99,BR,1616301886
205,Sambava,-14.2667,50.1667,25.95,78,92,3.59,MG,1616301887
206,Antalya Province,36.7741,30.7178,12.78,93,0,3.09,TR,1616301887
207,Carnarvon,-24.8667,113.6333,35.0,26,0,3.09,AU,1616301887
208,Ilulissat,69.2167,-51.1,-7.0,79,75,5.14,GL,1616301888
209,Kloulklubed,7.0419,134.2556,30.0,70,75,5.14,PW,1616301888
210,Atuona,-9.8,-139.0333,26.79,77,55,4.95,PF,1616301889
211,Kavieng,-2.5744,150.7967,29.07,74,100,3.5,PG,1616301889
212,Bilibino,68.0546,166.4372,-24.13,80,0,0.36,RU,1616301890
213,Kumul,42.8,93.45,9.66,14,0,1.4,CN,1616301890
214,Pucallpa,-8.3791,-74.5539,22.46,98,100,0.98,PE,1616301891
215,Cabedelo,-6.9811,-34.8339,24.0,94,20,2.57,BR,1616301891
216,São Desidério,-12.3633,-44.9733,19.6,93,58,1.64,BR,1616301892
217,Fairbanks,64.8378,-147.7164,-9.0,48,1,5.14,US,1616301605
218,Ribeira Brava,32.65,-17.0667,13.33,83,42,2.24,PT,1616301892
219,Yulara,-25.2406,130.9889,19.0,94,90,5.14,AU,1616301893
220,Ulladulla,-35.35,150.4667,19.0,100,75,3.6,AU,1616301893
221,Belaya Gora,68.5333,146.4167,-16.29,84,4,1.53,RU,1616301894
222,Poum,-20.2333,164.0167,26.57,73,36,4.43,NC,1616301894
223,Lebu,-37.6167,-73.65,12.51,80,56,3.91,CL,1616301894
224,Dakar,14.6937,-17.4441,18.0,88,16,6.69,SN,1616301722
225,Bodrum,37.0383,27.4292,14.0,93,0,2.06,TR,1616301895
226,Dossor,47.5272,52.9811,1.56,66,95,4.33,KZ,1616301895
227,Norwich,52.6278,1.2983,7.0,87,40,3.6,GB,1616301710
228,Ribeira Grande,38.5167,-28.7,14.76,77,98,7.05,PT,1616301896
229,Ténenkou,14.4572,-4.9169,26.81,32,43,1.7,ML,1616301896
230,Fremont,37.5483,-121.9886,10.56,71,20,5.14,US,1616301470
231,Esim,4.8699,-2.2405,26.0,85,66,2.17,GH,1616301897
232,Sarakhs,36.5449,61.1577,11.0,87,0,2.06,IR,1616301897
233,Tiksi,71.6872,128.8694,-25.25,97,100,5.71,RU,1616301898
234,City of San Pedro,14.35,121.0167,33.0,58,40,3.6,PH,1616301898
235,Miquelon,47.0975,-56.3814,-1.91,89,100,2.93,PM,1616301899
236,Wilmington,34.2257,-77.9447,7.78,81,20,6.17,US,1616301666
237,Caluquembe,-13.7833,14.6833,15.46,93,98,0.98,AO,1616301899
238,Fougamou,-1.2154,10.5838,21.63,97,100,0.79,GA,1616301900
239,Nipawin,53.3668,-104.0009,-1.0,86,1,4.12,CA,1616301900
240,Teya,60.3778,92.6267,-3.21,94,100,2.33,RU,1616301901
241,Palomares,17.15,-95.0667,18.06,80,20,3.33,MX,1616301901
242,Agüimes,27.9054,-15.4461,16.0,77,75,9.77,ES,1616301902
243,Biak,-0.9131,122.8766,29.89,64,94,0.17,ID,1616301902
244,Deputatsky,69.3,139.9,-23.18,95,67,1.55,RU,1616301903
245,Gharavŭtí,37.5672,68.4469,14.0,82,90,2.0,TJ,1616301903
246,Nago,26.5881,127.9761,20.0,77,90,5.66,JP,1616301903
247,Isla Mujeres,21.2311,-86.731,24.44,88,20,1.54,MX,1616301904
248,Solnechnyy,50.7214,136.6319,-1.39,90,100,1.96,RU,1616301904
249,Aswān,24.0934,32.907,27.12,17,0,2.02,EG,1616301905
250,Rio Grande,-32.035,-52.0986,21.67,98,100,4.8,BR,1616301905
251,St. Pete Beach,27.7253,-82.7412,13.89,1,90,7.99,US,1616301906
252,Sitka,57.0531,-135.33,3.0,70,90,9.77,US,1616301906
253,Vostok,46.4856,135.8833,0.1,96,100,1.05,RU,1616301907
254,Dhidhdhoo,6.8833,73.1,28.67,65,96,2.31,MV,1616301907
255,Jagüey Grande,22.5269,-81.1286,20.0,73,20,3.6,CU,1616301907
256,Ola,59.5833,151.2833,-11.48,80,53,1.55,RU,1616301908
257,Alugan,12.2188,125.4808,27.66,84,95,5.75,PH,1616301909
258,Rawson,-43.3002,-65.1023,13.59,72,0,4.44,AR,1616301909
259,Matola,-25.9622,32.4589,24.44,94,40,1.03,MZ,1616301748
260,Tortolì,39.9256,9.6572,8.0,49,40,12.35,IT,1616301910
261,Clyde River,70.4692,-68.5914,-31.0,76,1,2.06,CA,1616301910
262,Ostrovnoy,68.0531,39.5131,-7.44,89,95,3.23,RU,1616301911
263,São Filipe,14.8961,-24.4956,21.17,70,97,3.35,CV,1616301911
264,Bathsheba,13.2167,-59.5167,25.0,61,40,7.72,BB,1616301911
265,Fereydūnkenār,36.6864,52.5225,12.0,87,90,6.17,IR,1616301912
266,Gumdag,39.2061,54.5906,11.67,52,100,5.83,TM,1616301912
267,Kaa-Khem,51.6833,94.7333,-4.97,75,78,1.07,RU,1616301913
268,Namtsy,62.7161,129.6658,-5.0,54,0,5.0,RU,1616301913
269,Kumluca,36.3703,30.2869,13.86,68,0,1.33,TR,1616301914
270,Pacifica,37.6138,-122.4869,10.56,81,75,6.17,US,1616301914
271,Baruun-Urt,46.6806,113.2792,2.57,21,5,7.18,MN,1616301915
272,Airai,-8.9266,125.4092,23.56,65,94,2.19,TL,1616301915
273,Bam,29.106,58.357,20.76,8,0,4.0,IR,1616301915
274,Yurginskoye,56.8189,67.3921,-6.07,93,96,4.56,RU,1616301916
275,Atasū,48.6814,71.6433,0.32,92,53,6.17,KZ,1616301676
276,Saint-Pierre,-21.3393,55.4781,28.0,69,7,2.06,RE,1616301916
277,Severo-Kuril'sk,50.6789,156.125,-3.87,78,76,8.2,RU,1616301917
278,Leningradskiy,69.3833,178.4167,-22.58,94,100,2.68,RU,1616301917
279,Yumen,40.2833,97.2,6.25,18,0,5.31,CN,1616301918
280,Cizre,37.3272,42.1903,13.28,62,64,1.86,TR,1616301918
281,Ekhabi,53.5102,142.9671,-2.66,79,100,7.07,RU,1616301919
282,Seoul,37.5683,126.9778,10.0,57,40,7.72,KR,1616301637
283,Port Hawkesbury,45.6169,-61.3485,1.0,93,1,1.54,CA,1616301919
284,Dudinka,69.4058,86.1778,-24.14,69,74,4.84,RU,1616301920
285,San Jose,37.3394,-121.895,10.0,66,1,4.12,US,1616301734
286,Hasaki,35.7333,140.8333,18.0,94,75,7.2,JP,1616301920
287,Krasnoborsk,61.5598,45.934,-10.66,90,74,3.61,RU,1616301921
288,Grindavik,63.8424,-22.4338,6.0,81,90,10.8,IS,1616301921
289,Baringo,0.4667,35.9667,23.88,55,61,1.48,KE,1616301922
290,Ahipara,-35.1667,173.1667,18.9,64,88,2.63,NZ,1616301922
